alimento,cantidad_sugerida,unidad,peso_bruto_g,peso_neto_g,energia_kcal,proteina_g,lipidos_g,hc_g,colesterol_mg,vitamina_a_ug_re,calcio_mg,hierro_mg,sodio_mg,selenio_ug,categoria_grasa
Pierna de cordero,30,g,30,26,49,7.2,2.0,0.0,22.7,0.0,2.0,0.5,17.3,2.7,bajo
Pierna de pollo sin piel cocida,1/4,pieza,45,26,47,6.7,2.1,0.0,ND,ND,ND,ND,ND,6.8,bajo
Pierna de pollo sin piel cruda,1/3,pieza,76,43,52,8.7,1.6,0.0,34.6,7.8,4.8,0.4,37.2,5.8,bajo
Pierna de puerco,40,g,40,40,56,7.9,2.5,0.0,26.0,0.4,2.4,0.5,32.8,11.4,bajo
Pulpa de cerdo,40,g,40,40,56,7.9,2.5,0.0,26.0,0.4,2.4,0.5,32.8,11.4,bajo
Pulpa de ternera,40,g,40,38,59,7.5,3.0,0.0,34.2,0.0,4.2,1.1,34.2,5.9,bajo
Queso cheddar bajo en grasa,30,g,30,30,53,7.4,2.1,0.5,6.4,19.3,126.4,0.1,186.4,4.4,bajo
Queso cottage cremoso,3,cucharada,54,54,56,6.8,2.5,1.5,7.7,25.1,32.8,0.1,217.9,4.9,bajo
Queso de soya,2,rebanada,56,56,84,7.0,4.6,3.8,0.0,2.0,106.0,0.0,12.0,0.0,bajo
Queso fresco,40,g,40,40,58,6.1,2.8,2.0,0.0,28.0,273.6,0.1,0.0,3.6,bajo
Queso fresco de cabra,30,g,30,30,52,7.1,1.5,2.6,7.8,12.0,260.1,1.7,ND,2.7,bajo
Queso fresco de vaca,40,g,40,40,58,6.1,2.8,2.0,0.0,28.0,273.6,0.1,0.0,3.6,bajo
Queso Oaxaca Lala Light,30,g,30,30,64,7.8,3.3,0.8,ND,ND,230.0,ND,190.0,ND,bajo
Queso panela,40,g,40,40,58,6.1,2.8,2.0,0.0,28.0,273.6,0.1,0.0,4.8,bajo
Queso Panela Lala Light,30,g,30,30,52,5.7,2.7,1.2,ND,ND,200.0,ND,180.0,ND,bajo
Queso ricotta reducido en grasa,3,cucharada,45,45,62,5.1,3.6,2.3,13.8,48.3,122.3,0.0,56.3,0.0,bajo
Retazo de carnero,500,g,500,50,56,7.1,2.8,0.0,32.5,0.0,8.5,1.1,37.5,19.0,bajo
Rib eye sin grasa,25,g,25,25,56,7.0,2.9,0.0,20.0,0.0,3.3,0.6,17.3,4.3,bajo
Salmón,30,g,30,30,55,6.0,3.2,0.0,17.6,4.6,3.5,0.1,17.6,11.0,bajo
Salmón cocido,30,g,30,30,55,6.0,3.2,0.0,17.6,4.6,3.5,0.1,17.6,17.2,bajo
Salmón fresco,30,g,30,30,55,6.0,3.2,0.0,17.6,4.6,3.5,0.1,17.6,13.8,bajo
Short loin,25,g,25,25,54,7.2,2.6,0.0,19.0,0.0,2.0,0.6,17.0,5.8,bajo
Sierra ahumada,30,g,30,30,51,7.3,2.2,0.0,20.5,25.8,25.8,0.1,12.7,4.2,bajo
Sirloin,25,g,25,25,51,7.6,2.0,0.0,22.3,0.0,2.8,0.8,16.5,4.6,bajo
Sustituto de huevo en polvo,3,cucharada,15,15,67,8.3,2.0,3.3,85.8,55.4,48.9,0.5,120.0,19.2,bajo
Sustituto de huevo liquido,4,cucharada,60,60,51,7.1,2.0,0.4,0.0,130.2,31.9,1.3,106.0,24.8,bajo
T-bone sin grasa,30,g,30,24,49,6.4,2.4,0.0,14.2,0.0,1.4,0.8,17.0,5.3,bajo
Ternera,35,g,35,35,55,6.9,2.8,0.0,31.5,0.0,3.9,1.1,31.5,5.5,bajo
Ternera en canal,40,g,40,38,59,7.5,3.0,0.0,34.2,0.0,4.2,1.1,34.2,5.9,bajo
Tofu firme,40,g,40,40,58,6.3,3.5,1.7,ND,ND,ND,ND,ND,ND,bajo
Trucha,70,g,70,32,54,5.9,3.2,0.0,15.5,0.0,3.9,0.3,22.5,4.1,bajo
Trucha ahumada,30,g,30,30,51,7.3,2.2,0.0,20.5,25.8,25.8,0.1,12.7,4.5,bajo
Trucha cocida,30,g,30,30,51,7.3,2.2,0.0,20.5,25.8,25.8,0.1,12.7,4.5,bajo
Trucha fileteada,35,g,35,35,59,6.4,3.5,0.0,16.8,0.0,4.2,0.4,24.5,4.4,bajo
