alimento,cantidad_sugerida,unidad,peso_bruto_g,peso_neto_g,energia_kcal,proteina_g,lipidos_g,hc_g,colesterol_mg,vitamina_a_ug_re,calcio_mg,hierro_mg,sodio_mg,selenio_ug,categoria_grasa
Pata de carnero cocida,50,g,50,35,38,7.4,7.4,0.0,0.0,0.0,18.2,0.4,0.0,2.8,alto
Peperami,3/4,pieza,19,19,103,4.0,9.3,1.0,25.3,31.9,13.1,0.6,277.5,0.0,alto
Peperoni,10,rebanada,20,20,99,4.5,8.8,0.0,21.0,0.0,4.4,0.3,330.6,1.6,alto
Pescuezo de pollo con piel sin hueso,1,pieza,50,32,95,4.5,8.4,0.0,31.7,20.8,5.8,0.6,20.5,0.5,alto
Pollo crispy,45,g,45,34,106,5.4,7.1,5.1,20.0,0.0,5.7,0.3,154.4,0.7,alto
Pollo rostizado,1/3,pieza,50,28,80,6.7,6.3,0.0,0.0,57.4,2.8,0.5,0.0,1.6,alto
Pulpa de res,25,g,25,25,87,6.8,6.5,0.0,26.0,0.0,3.3,0.8,16.3,1.3,alto
Queso amarillo,2,rebanada,42,42,100,7.0,5.9,4.9,15.1,47.9,236.0,0.1,564.9,1.1,alto
Queso americano fundido,7,cucharadita,39,39,105,5.8,8.2,2.3,23.3,0.0,175.0,0.0,653.3,0.8,alto
Queso añejo,25,g,25,25,95,5.4,7.6,1.2,26.8,16.1,172.3,0.1,286.6,0.8,alto
Queso añejo rallado,4,cucharada,29,29,109,6.3,8.7,1.3,30.8,18.5,198.2,0.1,329.7,0.9,alto
Queso asadero,1,rebanada,28,28,100,6.4,8.0,0.8,30.0,18.0,187.0,0.1,186.0,0.9,alto
Queso blue cheese,30,g,30,30,106,6.4,8.6,0.7,22.5,69.6,160.7,0.1,424.3,0.9,alto
Queso brick,25,g,25,25,94,5.9,7.5,0.7,24.1,76.8,170.5,0.1,142.0,0.9,alto
Queso brie,30,g,30,30,102,6.3,8.4,0.1,30.0,55.7,55.7,0.2,190.7,0.9,alto
Queso camembert,35,g,35,35,106,7.0,8.6,0.1,25.0,88.8,137.5,0.1,298.8,1.0,alto
Queso canasto,30,g,30,30,87,8.5,10.0,0.4,25.5,195.0,258.0,0.7,0.0,1.2,alto
Queso cheddar,3/4,rebanada,21,21,85,5.2,7.0,0.3,22.1,63.6,151.5,0.1,130.3,0.7,alto
Queso cheddar rallado,1/4,taza,28,28,114,7.0,9.4,0.4,29.8,85.5,203.8,0.2,175.3,1.0,alto
Queso Cheezwiz,2,cucharada,33,33,91,4.0,6.9,3.0,24.8,ND,118.5,0.1,540.5,ND,alto
Queso Cheshire,1,rebanada,28,28,108,6.5,8.6,1.3,29.0,65.0,180.0,0.1,196.0,0.0,alto
Queso chihuahua,25,g,25,25,94,5.4,7.5,1.4,26.3,16.1,162.8,0.1,156.3,0.8,alto
Queso Chihuahua fresco,1,rebanada,28,28,105,6.0,8.4,1.6,29.4,18.0,182.3,0.1,175.0,0.9,alto
Queso chihuahua rallado,1/4,taza,28,28,106,6.1,8.5,1.6,29.7,18.2,183.9,0.1,176.6,0.9,alto
Queso colby estilo Cheddar,1,rebanada,28,28,110,6.7,9.0,0.7,27.0,74.0,192.0,0.2,169.0,0.0,alto
Queso cotija,30,g,30,30,87,8.5,10.0,0.4,25.5,195.0,258.0,0.7,0.0,1.2,alto
Queso crema light,3,cucharada,45,45,104,4.8,7.9,3.2,25.2,81.5,50.4,0.8,133.2,0.2,alto
